field_1,name,location,students_male,students_female,total_students,latitude,longitude,school_url,kab,level,damage
0,(50200872) SD ISLAM AL AZIZIYAH," Jln. TGH Umar Abdul Aziz Kapek Gunungsari, GUNUNGSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",189,180,369,-8.546228,116.105632,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A081A4E3-023C-E111-8831-0FC726472A3C,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
1,(50200755) SD NEGERI 1 GUNTUR MACAN," Jln Air Terjun Gripak Desa Guntur Macan, Guntur Macan, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",78,64,142,-8.534096,116.122627,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/606E56E1-023C-E111-AE71-0BFABD57BCEC,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
2,(50200211) SD NEGERI 2 GUNTUR MACAN," Poan Selatan, GUNTUR MACAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",38,37,75,-8.519768,116.124545,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/601757E1-023C-E111-ABBA-03F1860178D8,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
3,(50200305) SDN 2 MEKARSARI ," Mekarsari, MEKARSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",102,101,203,-8.53601,116.142552,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/609D58E1-023C-E111-87B3-0579F1E79F7A,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
4,(50200276) SD NEGERI 2 SESELA," Jl. Denda Fatimah Dusun Kebon Bawaq, Sesela, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",60,80,140,-8.550833,116.099722,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/30D65AE1-023C-E111-B071-1F4605A57000,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
5,(69993052) SDIT EL GHAIS," Jl. Muhajirin Dusun Belencong RT 004, Midang, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",0,0,0,-8.5568552,116.1230744,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/0A886575-0260-415C-8F71-2F7717DF3AD7,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
6,(69831947) SDN 2 BUKIT TINGGI," Batu Kemalik, BUKIT TINGGI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",54,56,110,-8.516481,116.149967,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/DF7D53AC-DCBF-4CB4-90F9-309E11986BCB,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
7,(50200509) SDN 2 GELANGSAR," GELANGSAR GUNUNGSARI, MAMBALAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",36,44,80,-8.522823,116.134543,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80DE65E1-023C-E111-992B-259F5EAD420D,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RS
8,(50200814) SD NEGERI 1 PENIMBUNG," Desa Penimbung, PENIMBUNG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",92,89,181,-8.546423,116.139423,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/90B156E1-023C-E111-89CE-31FBE4DBDC37,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
9,(50200143) SD NEGERI 2 TAMANSARI," Jl. Beringin Jaya No. 6, DESA TAMAN SARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",117,113,230,-8.547287,116.112564,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B03F57E1-023C-E111-ACDA-47C26F56723D,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
10,(50220455) SD NEGERI 3 MEKARSARI," Ranjok Barat, Mekarsari, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",39,49,88,-8.51476,116.143905,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/00DC0FAF-88E6-E111-A649-4DC862A13391,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
11,(50200162) SD NEGERI 3 TAMANSARI," Medas Baru, TAMANSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",119,107,226,-8.529063,116.111803,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C07058E1-023C-E111-9E3C-4B27731EC454,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
12,(69957194) SD MONTESSORI FUTURA INDONESIA," Jl. Demung RT.04, Jati Sela, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",17,19,36,-8.55,116.081944,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/F11EDB96-9E6C-421C-9F59-5F4F7F2D716B,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
13,(50200727) SD NEGERI 1 JATISELA," Jl. Pesona Wisata Jatisela, JATISELA, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",101,102,203,-8.552919,116.091141,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/105357E1-023C-E111-BCE0-591551F697E7,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RS
14,(50200800) SD NEGERI 1 MEKARSARI," Dusun Lilir, MEKARSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",120,88,208,-8.547006,116.136234,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80EB56E1-023C-E111-8519-5527CB719CFB,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
15,(50220458) SDN 4 TAMANSARI," BENTAUR, Tamansari, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",62,47,109,-8.522076,116.117554,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40600EAF-88E6-E111-8638-5B7028D09B96,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
16,(69786452) SD ISLAM ZILALUL QUR AN," LIMBUNGAN UTARA, TAMANSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",81,80,161,-8.538099,116.115233,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C0940FAF-88E6-E111-AFC2-676C09D29EF0,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
17,(50200728) SD NEGERI 1 KEKERI," JL. TGH. NURUDIN, KEKERI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",113,125,238,-8.559813,116.128624,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/40460FAF-88E6-E111-AFF7-6744E5EB9EBD,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
18,(50200232) SD NEGERI 2 JATISELA," Jl.raya Ireng Jatisela, Jati Sela, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",78,63,141,-8.550903,116.083809,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C04265E1-023C-E111-B272-63ABB659526D,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
19,(50200167) SD NEGERI 3 SESELA," Sesela, SESELA, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",118,109,227,-8.552222,116.102222,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/D0D961E1-023C-E111-8455-6131A78CB1AC,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
20,(50220404) SD ISLAM ADDINUL QOYYIM," JL. TGH. UMAR ABD. AZIZ, GUNUNGSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",88,52,140,-8.546048,116.100817,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/306F0FAF-88E6-E111-BD87-71BBC97050E3,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
21,(50200742) SD NEGERI 1 GUNUNGSARI," Jl. Al-aziziyah No.15, GUNUNGSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",135,144,279,-8.544829,116.105676,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/B05A56E1-023C-E111-925C-7B079ABC1822,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
22,(50200208) SD NEGERI 3 MIDANG," Jalan Krakatau No. 30 Gegutu Telaga, MIDANG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",117,67,184,-8.544829,116.117182,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/10E387E5-023C-E111-808B-6F783062C1EB,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
23,(50200272) SDN 1 BUKIT TINGGI," Jalan Tunjang Polak, BUKIT TINGGI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",63,65,128,-8.5319,116.1474,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/D0A161E1-023C-E111-A854-7B8A79B903E0,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
24,(50200753) SD NEGERI 1 DOPANG," Dusun Dopang, DOPANG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",168,158,326,-8.547025,116.118032,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/707057E1-023C-E111-ACC3-7F07A86BB544,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
25,(50200133) SD NEGERI 3 GUNUNGSARI," Gunungsari, GUNUNGSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",148,142,290,-8.540802,116.100098,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C08658E1-023C-E111-BECE-81E932FDB7F2,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
26,(50200115) SD NEGERI 3 KEKAIT," Kekait I, KEKAIT, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",83,77,160,-8.52041,116.101647,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/D0EC58E1-023C-E111-BFD1-8FE4C1E3BF47,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
27,(50200204) SDN 2 PENIMBUNG," PENIMBUNG GUNUNGSARI, PENIMBUNG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",74,67,141,-8.54152,116.145,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/005D62E1-023C-E111-86CA-8F70C4998025,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
28,(50200308) SD NEGERI 2 MAMBALAN," Jl. Desa Mambalan, MAMBALAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",90,65,155,-8.552473,116.13412,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/50D964E1-023C-E111-A0EA-97A48B705063,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
29,(50220457) SD NEGERI 4 MEKARSARI," JL. SEMPENI, Mekarsari, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",33,39,72,-8.5101,116.1376,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/70B80FAF-88E6-E111-8D42-B7A18EA28354,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
30,(50200188) SDN 1 GELANGSAR," Jl. Gelangsar, MAMBALAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",75,73,148,-8.529404,116.134399,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/802A61E1-023C-E111-AD96-B7D05B2B754D,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
31,(50200236) SDN 1 RANJOK," RANJOK, DESA  RANJOK, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",55,55,110,-8.547517,116.118641,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/001F0FAF-88E6-E111-8790-B5E87DBEBF41,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
32,(50219932) SD ISLAM AMANAH," Jl. Jurusan Tanjung Km 8, KEKAIT, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",36,32,68,-8.52285,116.109379,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/D0A8A4E3-023C-E111-BA65-B9C3029877A1,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
33,(50200797) SD NEGERI 1 MIDANG," JLN. TRUNOJOYO NO. 9, MIDANG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",167,147,314,-8.553652,116.110326,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/804764E1-023C-E111-BED4-B935392CDCF4,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
34,(50200779) SD NEGERI 1 SESELA," Jln.raya Sesela, SESELA, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",97,88,185,-8.553889,116.099444,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/60F65FE1-023C-E111-B4B6-C9E3F5839E4E,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RS
35,(50200784) SD NEGERI 1 TAMANSARI," Tamansari, TAMANSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",194,225,419,-8.545406,116.107231,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C06360E1-023C-E111-B2AF-C11D85D057EE,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
36,(50200869) SD ISLAM ASYABABIYAH," Dopang, DOPANG, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",23,14,37,-8.5389,116.121,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/806EA4E3-023C-E111-BF32-D97C2AB29FE3,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
37,(50200718) SD NEGERI 1 KEKAIT," Kekait, Kekait, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",138,124,262,-8.518626,116.10054,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/70F064E1-023C-E111-8EA9-D9D6E9A014E3,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
38,(50200302) SD NEGERI 2 MIDANG," JL. RAYA TANJUNG, Midang, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",100,82,182,-8.553347,116.110542,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/F0CF0EAF-88E6-E111-A675-CFA8A7D65D95,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
39,(50200210) SDN 2 kekait," Jl. Tanjung Dusun Wadon, Kekait, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",77,59,136,-8.529,116.1025,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/C0141AF2-0819-E211-BC9B-D514BD1D403A,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,BAIK
40,(50200803) SD NEGERI 1 MAMBALAN," Mambalan, MAMBALAN, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",98,81,179,-8.549818,116.126344,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A0B85FE1-023C-E111-AE52-ED75E3449091,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RS
41,(50200261) SD NEGERI 2 KEKERI," Kekeri, Kekeri, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",138,132,270,-8.559399,116.129111,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/F0FF57E1-023C-E111-A8DA-EB2E59367523,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RR
42,(50200452) SDN 1 JERINGO," JERINGO, JERINGO, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",93,76,169,-8.543532,116.131696,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/A08E11AF-88E6-E111-81EC-E9F2E0D03371,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
43,(69831951) SDN 3 BUKIT TINGGI," Murpadang, BUKIT TINGGI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",48,23,71,-8.516916,116.154611,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/E3A42989-1FCF-47D4-8DD9-DD4D9FCA7125,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB
44,(50200221) SD NEGERI 2 GUNUNGSARI," Jl. Raya Tanjung Medas Gunungsari, GUNUNGSARI, Kec. Gunung Sari, Kab. Lombok Barat Prov. Nusa Tenggara Barat ",94,96,190,-8.531838,116.102602,http://sekolah.data.kemdikbud.go.id/index.php/chome/profil/80D357E1-023C-E111-900D-FB29FDCDCD61,"Kab. Lombok Barat, Prov. Nusa Tenggara Barat",SD,RB